Genus	g__Methanobrevibacter	g__Actinomyces	g__Bifidobacterium	g__Parascardovia	g__Rothia	g__Cutibacterium	g__Propionibacterium	g__Olsenella	g__Collinsella	g__Adlercreutzia	g__Asaccharobacter	g__Eggerthella	g__Gordonibacter	g__Slackia	g__Bacteroides	g__Bacteroidales_unclassified	g__Barnesiella	g__Coprobacter	g__Butyricimonas	g__Odoribacter	g__Porphyromonas	g__Alloprevotella	g__Paraprevotella	g__Prevotella	g__Alistipes	g__Parabacteroides	g__Gemella	g__Aerococcus	g__Enterococcus	g__Lactobacillus	g__Lactococcus	g__Streptococcus	g__Catabacter	g__Christensenella	g__Clostridium	g__Hungatella	g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified	g__Mogibacterium	g__Clostridiales_unclassified	g__Intestinimonas	g__Lawsonibacter	g__Monoglobus	g__Eubacterium	g__Anaerostipes	g__Blautia	g__Butyrivibrio	g__Coprococcus	g__Dorea	g__Eisenbergiella	g__Fusicatenibacter	g__Lachnoclostridium	g__Lachnospira	g__Lachnospiraceae_unclassified	g__Roseburia	g__Sellimonas	g__Tyzzerella	g__Oscillibacter	g__Intestinibacter	g__Peptostreptococcus	g__Agathobaculum	g__Anaeromassilibacillus	g__Anaerotruncus	g__Faecalibacterium	g__Flavonifractor	g__Gemmiger	g__Ruminococcaceae_unclassified	g__Ruminococcus	g__Ruthenibacterium	g__Catenibacterium	g__Coprobacillus	g__Dielma	g__Erysipelatoclostridium	g__Erysipelothrix	g__Holdemanella	g__Holdemania	g__Turicibacter	g__Firmicutes_unclassified	g__Phascolarctobacterium	g__Mitsuokella	g__Allisonella	g__Dialister	g__Megasphaera	g__Veillonella	g__Parvimonas	g__Tissierellia_unclassified	g__Fusobacterium	g__Victivallis	g__Ralstonia	g__Comamonas	g__Oxalobacter	g__Parasutterella	g__Sutterella	g__Turicimonas	g__Bilophila	g__Bilophila	g__Desulfovibrio	g__Desulfovibrionaceae_unclassified	g__Desulfovibrio	g__Citrobacter	g__Enterobacter	g__Escherichia	g__Klebsiella	g__Haemophilus	g__Acinetobacter	g__Proteobacteria_unclassified	g__Akkermansia	g__Blastocystis
S2468	0	0	0.004290999	0	0	0	0	0	0	8.60E-06	2.22E-05	0.0006137	0.0002164	0	0.704008189	0	0.056055283	0	0	0.028297392	5.40E-06	0	0.0015629	0.0003467	0.070669279	0.013556896	0	0	0	1.38E-05	0	0.0009871	0	0	0	0	0	0	0	7.10E-06	0.0002172	0.024562893	0.015954295	0.0008466	0.007517998	0	0	0.0005332	0.0002798	0.0004617	5.20E-06	0.0002468	0.006031398	0.004825299	0	5.10E-05	0.002358399	0	0	4.05E-05	0	0.0001001	0.007127298	0.005722498	0.001296	0.029108791	0.003656099	0.001705599	0	0	7.15E-05	0	0	0	0	0	0.0008087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005809198	0	0	0	0	0	0
S2527	0	0	0.016412599	0	0	0	0	0	0	0	0	0	5.29E-05	0	0.507945452	0	0.012091168	7.38E-05	0.000382423	0.003269043	0	0	0.009801629	0	0.079639484	0.019190841	0	0	0	0	0	0.000508198	0	0.00020016	0.001034992	0	0	0	0	0.001709156	0	0	0.019115656	0.00333353	0.002738749	0	0.007235545	0.002155367	0	0.005952703	0	0	0.030715623	0.023413092	0	0	0.013301125	0	0	0	0	0.000226454	0.04017972	0.004130169	0.000635472	0.000294541	0.126574846	0.002770243	0	0	0	0	0	0	0.00025075	0	0.005820529	0.015808021	0	0	0	0	0.001026094	0	0	0	0	0.000259048	0	0	0	0	0	0	0	0.00020076	0	0.00020076	0.000128274	0	0.000790141	0	0	0	0	0.040430969	0
S2593	0	0	0.1042135	0	0	0	0	0.0021287	0	0	0	0	0.0002298	0	0.2534592	0	0.0150388	0	0	0.0089852	0	0	0.0240625	0	0.0011923	0.0023889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1554361	0.0032174	0.0058679	0	0.0022772	0.0003575	0	0.0062842	0	0	0.091741	0.0316857	0	0	0.000339	0	0	0.0004354	0	0	0.0640377	0	0.0005985	0.0046841	0.1731703	0.019221	0	0	0	0	0	0.0009794	0	0	0.0026273	5.81E-05	0	0	0	0.0028181	0	0	0	0	0	0.0003451	0	0	0.0001482	0	0	0	0	0	0	0	0	0	0.0090552	0	0	0	0.0129167	0	0
S2600	0	0	0.310242569	0	0	0	0	0	0.013674099	0	0	0	0	0.005098299	0.136187786	0	0.030683897	0	0	0.007469799	0	0	0	0	0.049812695	0.001186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002278	0.0022199	0	0.0004736	0	0.0029368	0	0	0.006148499	0	0.0006676	0.045470895	0.059790194	0	0	0.042356096	0	0	5.61E-05	0	0	0.117492588	0.0013099	0	0	0.10202349	0.008070799	0.0003041	0	0	0	0	0	0	0	0.005302199	0	0	0	0.013928599	0	0	0	0	0	0	0.0005035	0	0	0	0	0	0	0	0	0	0	0	0	0.029761297	0	0	0	0	0.006600899	0
S2601	0.327998579	0.000309045	0.009364941	0.001103005	0.000118479	0	0.000183268	0	0.068462968	0.000230159	0.00011008	0.000156872	0.001106904	0.005716587	0.195281896	0	0.000714073	6.12E-05	0.001061012	0.005872159	0	0	0	0.058509132	0.000326642	0.006642323	0	0	0.00028295	0.000100782	0	0.014382251	4.14E-05	0.000988025	0.001388954	0.003465286	0	0.000145474	0	0	0	0	0.062199578	0.001149696	0.013363032	0	0.003374402	0.011011449	0.000189766	0.001232982	0	0	0.004273243	0.012772637	0	0	0.000683879	0.002890988	0	0	0	0	0.013504007	0.000334341	0.002436768	0.002972173	0.020964085	0.022937735	0	0	0	5.15E-05	0	0.001482737	0	0.000523507	0.001257177	0.002591941	0	0	0	0	0	0	0	0	0	0	0	0.001149896	0	0	0	5.20E-05	5.20E-05	0.000125378	0	0.000125378	0	0	0.029611853	0	0.000498612	0	0	0.081966576	0
S2608	0	0	0.0039254	0	0.0004681	0	0	0	0.000727	0	0	0	3.90E-05	0	0.666862667	0	0.0034091	0.0002049	0	0.006884601	0	0	0	0.0002836	0.007056501	0.018771002	0	0	0	0	0	0.008164401	0	0	0.017522102	0.0005407	0	0	0	0.0010029	0	0	0.005029201	0.0006332	0.0036188	0	0.0012445	0.0001151	0.0023548	0.0001754	0.0009996	0	0	0.005494101	0	0	0.0010614	0.0010221	0	0.0013929	0	0	0.106966411	0.0004181	0.00112	0.012612101	0.0019371	0.0009404	0	0	2.71E-05	0.000135	0	6.07E-05	0	0	0.0025784	0.0007296	0	0	0	0	0.0012595	0	0	0.005162301	0	3.47E-05	0	0	0.0021442	0	0	0	0	0	0	0	0	0	0.09943541	0.0001378	0.0024625	0	9.89E-05	0.0027367	0
S2627	0	0	0.003239283	0	4.10E-06	0	0	0	0.019591331	3.30E-05	0	8.20E-06	0.000703192	0	0.421417572	0	0.048396831	0	7.10E-05	0.012732631	3.29E-05	0	0	0.076733437	0.047687541	0.100779719	0	0	0	0	0	0.000290473	0	0	0.006622203	0.002408047	0	0	0	0	2.04E-05	0.003213794	0.000997064	0.000746374	0.011516962	0	0.010551985	0.003690186	0.000339651	0.002544287	0.000650416	0	0.03838661	0.007625565	0.001436971	0	0.000315762	0.000884013	0	0.000326257	0	0.002598663	0.007954821	0.001588805	0.000875717	0.009451666	0.04211258	0.010855652	0	0	0	0.002328681	0.003422703	0	0	0.000336353	0.008271482	0.005949498	0	0	0.01607267	0	0.000375536	0	0	0	0	0	0	0	0.002152558	0	0	0.000437009	0.000437009	0	0	0	0	0	0.060259542	0	0.000374236	0	9.34E-05	0	0
S2632	0	0	0.017290298	0	0	0.0003336	0	0.0001413	0.009046799	0	0	0	0.0007037	0	0.225041777	0	0	0	0	0.0039804	0	0	0	0.233024177	0.066733593	0	0	0	0	0	0	0.0004467	0	0	0.0008193	0	0	0	0	0	0	0.013845399	0.005017099	0.0034513	0.011005099	0	0.018157498	0.0022788	0	0.007955899	0	0.0002487	0.0043956	0.036776496	0.0001272	0	0.061315294	0	0	0	0.0004008	0	0.007272599	0.0001073	3.09E-05	0.0035076	0.125410087	0.018590698	0	0	0	0	0	0	0.0007291	0	0.005196499	0	0	0	0.0040722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021819798	0	0.0001767	0	0	0.090549691	0
S2663	0	0	0.0023645	0	0	0	0	0	0.0020399	7.51E-05	8.37E-05	0.0001157	7.10E-06	0	0.488946202	0	0.078457584	0.00031	0.004620099	0.040957992	0.0002245	0	0	0	0.152692369	0.003894599	0	0	2.95E-05	0	0	0.0016876	7.31E-05	0	0.0001238	0	0	0	0	0	0	0	0.005302399	0.003154799	0.005706199	0	0.003184799	0.0008324	0	0.003126599	0	0	0.006723699	0.020654296	0	0	0.003554499	0	0	7.44E-05	7.27E-05	0	0.033376293	0.0012554	0.0006033	0.021708996	0.016994897	0.0009499	0	0	0	0	0	2.49E-05	0	0	0.0012967	0.003449899	0	0	0	0	4.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.24E-05	0.0007125	0	0.0001702	0	0	0.090264482	0
S2680	0	0	0.043873887	0	0.0009928	1.98E-05	0	0	0.002054199	0.0002037	0.0001876	0.0003779	0.0008763	0	0.549919735	0	0.017594695	0	0	0.015721195	0	0	0.009404797	0	0.092022872	0.012837696	0	0	0	0.0004182	9.23E-05	0.007195598	1.14E-05	0	0.005232098	0	0	0	0	4.30E-06	8.50E-05	0	0.023614693	0.004186499	0.009015697	0	0.017117995	0.004600099	0	0.012264896	0	0.000398	0.001802499	0.025630392	0	7.87E-05	0.00143	0.0008676	0	0.0012774	0	0	0.035936189	0.0004116	0.0009728	0.008060898	0.06509688	0.003456499	0	0.0002501	0	0	0	0	0	2.64E-05	0.0002262	0.010506497	0	0	0.002519999	0	0.004332299	0	0	0	0	0	0	0	0.0010623	0	0	0	0	0	0	0	0	0	0.005509498	0	0.0002154	0	5.90E-06	0	0
S2726	0	0	0.035414529	0	0	0	0	0	0.016739818	0	0	0	0	0.000630337	0.025765853	0	8.80E-06	0	0	0.00371595	0	0	0.006227103	0.247487073	0.015503234	0.006704204	0	6.29E-05	0.000854644	0.016832479	0.000169229	0.007597431	0	0	0.131636394	0	0	0	0	0	0	0	0.223268975	0.00244618	0.008355015	0.030507975	0.001888712	0.011098971	0	0.003005946	0	0	0.06470951	0.075693528	0	0	0.001217592	0	0	0.000357151	0	0.003030336	0.036092246	0.000212811	0.001002982	0.002844114	0.004956932	1.82E-05	0	0	0	0	0	0.006875732	0	0	0.001607829	0	0	0	0	0	0.000514086	0	0	0	0	0	0	0	0	0	0	0	0	0.000416926	0	0.000416926	0	0	0.002735659	0	0	0	0	0.001375726	0
S2817	0	0	0.4089855	0	0	0.000528	0	0	0.0157797	0.0001498	0.0001568	0	0.001634	0	0.0829316	0	0.0117426	0	0	0.0010813	0	0	0	0.0049615	0.0139714	0.0019123	0	0	0	5.20E-05	0	0.0023749	0	7.03E-05	0.0012133	0	0	0	0	0	0	0	0.0157719	0.0005863	0.0066491	0	0.0101712	0.0012832	0	0.0067997	0	0	0.0029113	0.0134686	0	0	6.30E-05	0.00049	0	0.0003703	0.0002797	0	0.0897836	0.000157	0.0035042	0.0052206	0.0403366	0.007028	0	1.85E-05	0	0	0	0	0.0003506	2.10E-05	0.0089003	0.0001547	0	0	0.0001397	0	0	0.0017498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001314	0	0	0	0	0.2360982	0
S2846	0	0	0.0882282	0	0.0012056	0.0001708	0	0	0.013364	0	0	0	0.0002056	0.0055228	0.0613236	0	0.004173	0	0	0.0028274	0	0	0.0023765	0.2258473	0.0025123	0.0018425	0	0	0	0	0	0.0075579	0	0	0.0088528	0	0	0	0	0	0	0	0.1242178	0.0042254	0.0140805	0.0042291	0.0228389	0.0075133	0	0.0097147	0	0	0.0278227	0.0284298	0	0	0.0061789	0.0001014	0	0	0	0	0.052801	0.000726	0.003323	0.0189642	0.0085775	0.0077405	0	0	0	0	0	0	0	0	0.0062937	0.0202825	0	0	0	0	5.96E-05	0	0	0	0	0	0	0	0.0008272	0	0	0	0	0	0	0	0	0	0.002136	0	0.0001371	0	0	0.2027689	0
S2883	0	0	0.011555023	0	0	0	0	0	0	7.19E-05	8.00E-05	0.000155459	0.000143362	0.001444415	0.55565233	0	0.010029129	0.000821281	0	0.005158126	0	0	0.035228619	0	0.019969882	0.016166595	0	0	0	0	0	4.34E-05	0	0	0.001133098	0.004599675	0	0	0	0	0	0	0.050631517	0.00146601	0.00304039	0	0.000329112	0.002237004	0	0.00176433	0.006548456	0.000576047	0.025954388	0.02189397	0	0	0.000757898	6.16E-05	0	0.000125367	0	1.55E-05	0.045313033	0.005486039	0.00015206	0	0.02324491	0.002544822	0	4.05E-05	0	0.000316016	0	0	7.13E-05	0.000780192	0	0	0	0.000164256	0.031015241	0	0	0	0	0	0	0	0	0	0	0	0	0.000266229	0.000266229	0	0	0	0	0	0.112685392	0	0	0	0	0	0
S2927	0	0	0.058492951	0	6.00E-06	0	0	0	0.006844812	0	0	0	0.000169171	0	0.300184718	0	0.021368793	0.000499913	0	0.00270643	0	0	0.004071394	0	0.041690167	0.021610351	0	0	0	9.96E-05	0	0.001342767	0	0	0.012086703	0	0	0	0	0	0.00017327	0.004251162	0.165907215	0.010044057	0.006838813	0.030923035	0.018059167	0.002342594	0	0.009421865	0	0.000905143	0.095594214	0.062722918	0	0	0.003059769	0	0	0.000189067	0	0	0.035092611	0.000486916	0.003904723	0.003947215	0.013870793	0.001477144	0	0	0	0	0	0	0	0	0.007412114	0.050211788	0	0	0	0	0.00138396	0	0	0	0	0	0	0	0	0	0	0	0	0.00017357	0	0.00017357	0	0	0	0	0.000259555	0	0	0	0
S2967	0	0	0.0016468	0	0	0	0	0	0.004165501	4.00E-06	0	0	8.10E-06	0	0.379909576	0	0.058842812	0	0.001544	0.005047801	0	0	0.001272	0.146229329	0.012769603	0.009653802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017101	3.25E-05	0.0011462	0	0.013481603	0.002968901	0	0.0014826	0	0.0002696	0.029115006	0.028222906	0	0	0.0002733	0	0	0.004357901	0.0002282	0	0.106403021	0.0010166	0.0015568	9.30E-06	0.0022025	0.006491601	0	0	2.53E-05	0	6.36E-05	0	0.0001126	0	0.003471401	0.0001947	0	0	0.063457413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000121	0.053012011	0	0.0001483	0	0	0.057331711	0
S2971	0	0	0.008444803	0	3.70E-06	0	0	0	0	0	0	0	0.0001301	0	0.701251681	0	0.019232908	0	0.002637701	0.041424317	0.003076701	0	0.011204904	0.002246701	0.079875432	0.002691601	0.000161	0	2.32E-05	0	0	0.0004676	0.0001761	0	0	0.001485701	0	0	0	0	0	0.003950102	0.0011606	0.000493	0.003473501	0	0.0012336	0.001326701	0	0.0003004	7.40E-06	0	0.008339103	0.029653912	0	5.97E-05	0.000748	0.0007537	0	0	0	0.0003064	0.017089307	0.004476902	0.0001422	0.009701304	0.013018805	0.001634901	0	0	0.004944302	0	0	0	0	0.0001881	0.0010769	0	0	0	0	0	0	0.0002233	0	0	0	0	0	0	0.0009304	0	0	0	0	0	0	0	0	0	0.020096608	0	0	0	1.22E-05	8.52E-05	0
S329	0	0	0.0326151	0	0	0	0	0	0.0010213	0	0	0	0	0	0.6784664	0	0.0194698	0.0001037	0.0006154	0.0153379	0	0	0	0	0.0312556	0.0351415	0	0	0	1.35E-05	0	0	0	0	0.0002888	0	0	0	0	0.0001236	0	0	0.0098407	0.0007199	0.000789	0	0.0076828	0.0006425	0	0.0004547	0	0.0031284	0.0119125	0.0206739	0	0	0.0002011	0.0007049	0	0.0010942	0	0	0.0280754	0.0003971	0.0007292	0.0167989	0.0429664	0.0002216	0	0	0	0	0	0	0	0	0.0181712	0.0012457	0	0	0.0111854	0	0	0	0	0	0	0	0	0	0	0.0002607	0	0	0	0	0	0	0	0	0.0051402	0	0.0001369	0	0	0.0023741	0
S339	0	0	0.001844341	0	0	4.01E-05	0	0	0.002095306	0	9.00E-06	0	0	6.33E-05	0.265436559	0	0.025763985	0	4.86E-05	0.004211109	1.83E-05	0	1.15E-05	0.415886351	0.142213247	0.010473231	0	0	0	0	0	0.000289159	0	0	2.74E-05	0	0	0	0	0	0	0.000491831	0.002612633	0.008657885	0.008802665	0	0.006041252	0.003723578	0	0.003184053	0	0	0.002115803	0.013517304	0	0	0.000381646	0	0	0.000240866	0	0	0.033948337	0.000819985	7.23E-05	0.009112921	0.009503167	0.001487291	0	0	0	0	0	0	0	0	0.017155593	6.62E-05	0	5.90E-05	0.004859718	0	0.001042354	0	0	0	0	0	0	0	3.82E-05	0	6.29E-05	0.00014018	0.00014018	0	0.000183174	0	0	0	0.00164127	0	0.000589117	0	0.00085238	0	0
S402	0	0	0	0	0	0	0	0	0.0013008	0	0	0	0	0.0001437	0.7079471	0	0.0109201	0.0031407	0.001683	0.0134354	0	0	0	0	0.0171923	0.0248646	0	0	0	0	0	0	0	0	0.0042187	0	0	0	0	0	0	0	0.0095915	4.62E-05	0.0061622	0.0002388	0.0015739	0.0016374	0	0.002537	0	0	0.0197614	0.0915084	0	0	0.01849	0	0	0	0	0	0.0486013	0.0002836	5.68E-05	0.0007501	0.0079168	0	0	0	0	0	0	0.0004165	0	0	0.0014265	0	0	0	0	0	0.0004285	0	0	0	0	0	0	0	0	0.0001381	0	0	0	0	0	0	0	0	0.00069	0	0.0001694	0	0	0.0015127	0.0012165
S573	0	0	0.0003779	0	0	0	0	0	0.0003073	0	0	0	0	0	0.1934159	0	0	0.0011659	0	0.0142127	0	0	0	0.6296296	0.0510703	0.0155421	0	0	0	0	0	0	0	0	0.0016141	0	0	0	0	0	0	0	0.0069255	3.83E-05	0.0001014	0.0017797	0.0013115	0.0005881	0	0	0	0	0.0315707	0.0111354	0	0	0.012657	0	0	0	0	0	0.0087609	0	0.0004673	0.0010839	0.0064516	0	0	0	0	0	0	0	0	9.60E-05	0.0025785	0	0	0	0	0	0.0001384	0	0	0	0	0	0	0	0.0048019	0	1.77E-05	0	0	0	0	0	0	0	0.0001088	0	0.0009538	0	0.0010978	0	0
S578	0	0	0.006380799	0	0	0	0	0	0.007123599	0	0	0	0	0	0.154729269	0	0	0	0.0008723	0.011240598	0	0	0.011956598	0.102769379	0.068028786	0.019545996	0	0	0	0.003103899	0	0.0007613	0	0	0	0	0	0	0	0.0001986	0	0.001723	0.10049218	0	0.0018727	0	0.001816	0.003868599	0	0.0009468	0	0.003664799	0.124716375	0.170629466	0	0	0.004221099	0	0	0.0018004	0	0	0.115683077	0.0010027	0.003862599	0.0001545	0.030671094	0.000211	0.0003361	0	0	0	0	5.01E-05	0	0	0.036962493	7.04E-05	0	0	0.006742499	0	0	0	0	0	0	0	0	0	0	5.51E-05	0	0	0	0	0	0	0	0	0.0005423	0	0.000126	0	0	0.0010406	0
S847	0	0	0.001172577	0	0.000280771	0	0	0	0.000896906	0	0	0	0	0	0.779970959	0	0.003829599	0.001194775	0.000974598	0.003453338	0	0.000104489	0	0	0.055658567	0.027883178	0	0	0	0	0	0.000684128	0	0	0	0	0	0	0	0	0	0	0.001073088	0.000980497	0.003203264	0	0.013660668	0.000847211	0	0.004540824	0	0.000126987	0.001154979	0.035478882	0	0	0.007496014	0	0	0.001514441	0	0	0.038137403	4.22E-05	0.001914399	3.47E-05	0.003845497	0.00028437	0	0	0	0	0	0	0	0	0.000824214	0	0	0	0.001276966	0	0.004409938	0	0	0	0	0	0	0	0	0	0.000116688	0.000104589	0.000104589	0	0	0	0	0	0	0	0.002393949	0	0.000329765	0	0
S865	0.002247388	0	0.004661046	0	5.89E-05	0	0	0	0.005772542	5.02E-05	1.53E-05	7.64E-05	0.000457016	0.002058123	0.245433337	0	0.042719874	0	0.001499925	0.01108227	1.37E-05	0	0.007618604	0.040294018	0.179317849	0.024003803	0	0	0	1.21E-05	0	3.27E-05	0	0	0.221215273	0	0	0	0.004084952	0.001261969	0	0	0.003159821	1.23E-05	0.00267641	0	0.000995118	0.000991718	0.00021846	0.002776091	0	0.009466166	0.010344605	0.017733151	0	5.30E-06	0.018791157	0	0	0.001242872	0	0	0.048352542	0.000223359	0.001816167	0.00223769	0.038620325	0.009011449	0	0	0	0	0	0.00168949	0	0	0.001924048	0.000209562	0	0	0	0	0	0	0	0	0	0	0.007925248	0	0	0	0	0.000183366	0.000183366	0	0	0	0	0	0.018036096	0	0	0	0	0.007186883	0
S884	0	0	0.022530562	0	0	3.12E-05	0	0	0.004849775	4.86E-05	9.40E-06	7.04E-05	0.000137885	0	0.422129626	0	0.035165895	0.001551532	0.000730021	0.005348721	0	0	0	0.000481648	0.102164546	0.040332936	0	0	0	0.001520535	0	0.0009233	0	0	0.003254448	0	0	0	0	0.000197879	0.000145984	0	0.008070127	0.006023148	0.012827412	0	0.005063152	0.003979269	0	0.004352529	2.45E-05	0.000218876	0.064887679	0.005571597	0	0	0.005557099	0	0	0.000640831	0	0	0.025512939	0.000484448	9.47E-05	0.133152093	0.024041599	0.001008191	0	0	0	7.91E-05	0	0	0	0	0.004681393	0.01191841	0	0	3.84E-05	0	0.000701024	0	0	0	0	0	0	0	0.002552824	0	0.000409956	0.000108288	0.000108288	0	0	0	0	0	0.008151118	0	5.75E-05	0	0.010953615	0.016231644	0.000873405
